due_date,platform,content_type,subject,content,author_email,time_slot,post_id,engagement_score,likes,comments,shares,is_variant,original_post_id,impressions
2024-12-01,Twitter,post,Twitter update,"Time may tell when .moon names shall return to us domainers. Until then, let us be patient, enjoy our minted moons, and know that holding gets us to the moon. If I may, a poem: ğŸŒ™ 'The Moon's Promise' ğŸŒ• When Sister Moon (who guides us all) Behind earth's veil must journey https://t.co/QbW85vO6Ns",,12:00,1.863145792514524e+18,38.0,12.0,0.0,0.0,False,,384.0
2024-11-30,Twitter,post,Twitter update,ğŸ‘¨ğŸ»â€ğŸš€ğŸŒ” MAN . MOON ğŸ‘¨ğŸ¾â€ğŸš€ğŸŒ” Accepting offers via DM for this premium LLL onchain domain while .moon awaits its return to @unstoppableweb marketplace #moon #domains #Web3Names #crypto https://t.co/SREbBYBViU,,12:00,1.863014248932127e+18,12.0,7.0,0.0,0.0,False,,416.0
2024-11-23,Twitter,post,Twitter update,ğŸ›¸ğŸŒ” PAD . MOON ğŸ›¸ğŸŒ” LISTED FOR SALE: $100K Perfect domain for launching web3 projects onchain. #launchpad #domains #Web3Names #crypto https://t.co/I03F9imLM0 https://t.co/PIvmI5z3S6,,12:00,1.8603273145230623e+18,11.0,5.0,2.0,0.0,False,,434.0
2024-11-22,Twitter,post,Twitter update,Recently listed premium . moon name https://t.co/2Uh8qMZmmU,,12:00,1.8600852116835205e+18,1.0,0.0,0.0,0.0,False,,59.0
2024-11-22,Twitter,post,Twitter update,ğŸš€ğŸŒ” LAUNCH . MOON ğŸš€ğŸŒ” LISTED FOR SALE: $100K #launch #domains #Web3Names #crypto https://t.co/2Uh8qMZmmU https://t.co/o72x9x3HBm,,12:00,1.8600836317856727e+18,16.0,5.0,0.0,0.0,False,,226.0
2024-11-22,Twitter,post,Twitter update,@jstenn13 Nice one,,12:00,1.85998907449036e+18,1.0,1.0,0.0,0.0,False,,57.0
2024-11-22,Twitter,post,Twitter update,ğŸª‚ drop . moon ğŸŒ• Listed for sale for just $5K! https://t.co/WWgdjFBqyx #web3 #airdrop #domainsforsale #unstoppablesnap https://t.co/Fgr00EQ9nm,,12:00,1.859986851677045e+18,3.0,1.0,0.0,0.0,False,,58.0
2024-11-21,Twitter,post,Twitter update,https://t.co/Ff6HTiKFmv Listed for sale: hodl.moon $250K or best offer @unstoppableweb #moon #cryptocurrency #domains https://t.co/uVtFh18Y5i,,12:00,1.8598435788912072e+18,6.0,3.0,0.0,0.0,False,,93.0
2024-11-16,Twitter,post,Twitter update,What do you think about the . cv TLD? Computer Vision? Cirriculum Vitae? Something else? Recently acquired a few on @Dynadot and curious about their potential... AutoGenerate /cv CoverLetter /cv Nightvision /cv Robot /cv #domains,,12:00,1.8580026934925235e+18,14.0,2.0,1.0,0.0,False,,163.0
2024-11-15,Twitter,post,Twitter update,@AlexVerdea What AI brokerage are you referring to,,12:00,1.857624136262234e+18,1.0,1.0,0.0,0.0,False,,71.0
2024-11-15,Twitter,post,Twitter update,Excited about this LLL . bet domain acquisition Pot . Bet https://t.co/az1fvjAtlO,,12:00,1.8575499617154417e+18,4.0,1.0,0.0,0.0,False,,99.0
2024-11-14,Twitter,post,Twitter update,@DCLjasonx https://t.co/WOOnDe1mPO ğŸ¤–ğŸ‘€,,12:00,1.8572504336699968e+18,12.0,4.0,1.0,0.0,False,,96.0
2024-11-13,Twitter,post,Twitter update,"@TonyDancaster Weâ€™ve listed https://t.co/4VV7upD9eb, https://t.co/smKgT1SpB0, and https://t.co/2BKWxiaM7r. https://t.co/tv2GKWFoTk",,12:00,1.856852569530012e+18,6.0,2.0,0.0,0.0,False,,74.0
2024-11-13,Twitter,post,Twitter update,SilverCoins.eth on sale for 1 ETH https://t.co/Fv4upV2RCr #ens #eth,,12:00,1.8568515775351813e+18,5.0,2.0,0.0,0.0,False,,87.0
2025-02-10,Twitter,post,Twitter update,"When knowledge work can be delegated to Agentic workers, life is better. https://t.co/cQNNi73mBq embodies this new mindset. Listing soon on Top Domain Club! #Domains #Agentic https://t.co/wOeCJmgOVD",,12:00,1.8889597096146824e+18,13.0,7.0,0.0,0.0,False,,104.0
2025-02-09,Twitter,post,Twitter update,Bargain! #Agent https://t.co/cbnVaAEkpU,,12:00,1.8885966572538104e+18,3.0,1.0,0.0,0.0,False,,52.0
2025-02-07,Twitter,post,Twitter update,ğŸš€ Attention Venture Capitalists &amp; Domain Investors! Are you looking to elevate your brand in the dynamic world of venture capital? Here's your golden opportunity: Introducing https://t.co/oZyZ1X2trL - A Premium Domain for Sale! Why https://t.co/oZyZ1X2trL? Brand Relevance: https://t.co/5IR75GR4DF,,12:00,1.8880738427505464e+18,1.0,0.0,0.0,0.0,False,,33.0
2025-02-07,Twitter,post,Twitter update,"ğŸš€ Attention Venture Capitalists &amp; Domain Investors! Are you looking to elevate your brand in the dynamic world of venture capital? Here's your golden opportunity: Introducing ""https://t.co/oZyZ1X2trL"" - A Premium Domain for Sale! ğŸ“·Why ""https://t.co/oZyZ1X2trL""? Brand https://t.co/igddfsSyr9",,12:00,1.8880733198508524e+18,2.0,0.0,0.0,0.0,False,,9.0
2025-02-07,Twitter,post,Twitter update,"ğŸš€ FOR SALE: Unlock the future with https://t.co/P598OZ485m! ğŸ”¥ A premium, ultra-catchy domain perfect for AI, tech, or bot-related ventures. ğŸŒ Don't miss out on this rare opportunity. DM for inquiries! #DomainForSale #PremiumDomain #AI #Tech #Bots #DubBot #Dub https://t.co/oF7rjC7P8F",,12:00,1.8878116383104248e+18,2.0,0.0,0.0,0.0,False,,86.0
2025-02-04,Twitter,post,Twitter update,@DomainDiscovere TD.c and O.ds,,12:00,1.8869259472341036e+18,2.0,2.0,0.0,0.0,False,,82.0
2025-01-31,Twitter,post,Twitter update,Do you have a .xrp name yet? If not what are you waiting for?,,12:00,1.8854709901820805e+18,0.0,0.0,0.0,0.0,False,,63.0
2025-01-28,Twitter,post,Twitter update,Premium dot com domain Agentic Job https://t.co/M2mBmJqg1q,,12:00,1.884421944000324e+18,3.0,1.0,0.0,0.0,False,,82.0
2025-01-28,Twitter,post,Twitter update,@matthewegould brain.api mind.wave neuro.api https://t.co/3AkZKbYjty https://t.co/bVYwzLYryt https://t.co/G70IwmPgfq (thought bubble),,12:00,1.884420880119268e+18,3.0,2.0,0.0,0.0,False,,48.0
2025-01-28,Twitter,post,Twitter update,Premium dot com domain Agentic Deal https://t.co/ZDqJXVdrO2,,12:00,1.884246548978308e+18,6.0,3.0,0.0,0.0,False,,103.0
2025-01-27,Twitter,post,Twitter update,Premium dot com domain Agentic Code https://t.co/CDLVi1NFKj,,12:00,1.8840771979899287e+18,12.0,3.0,0.0,0.0,False,,196.0
2024-12-26,Twitter,post,Twitter update,"Up to more than 19,000 XRP names now! Better get yours while you still can! https://t.co/nEfIHKTNuE",,12:00,1.8724645853176264e+18,8.0,4.0,0.0,0.0,False,,84.0
2024-12-22,Twitter,post,Twitter update,@WorldEmojiBrand https://t.co/oZyZ1X2trL â€¢Retrieval-Augmented Generation (RAG) An AI framework that combines the capabilities of large language models (LLMs) with traditional information retrieval systems: â—¦RAG combines the generative power of LLMs with the precision of data search,,12:00,1.870886038333428e+18,5.0,2.0,0.0,0.0,False,,110.0
2024-12-06,Twitter,post,Twitter update,https://t.co/Awjvvv1TXV,,12:00,1.8652349889728064e+18,7.0,4.0,0.0,0.0,False,,105.0
2024-12-05,Twitter,post,Twitter update,@ADHDForReal You should see my Spotify wrapped stats ğŸ˜¬,,12:00,1.8647681355445988e+18,0.0,0.0,0.0,0.0,False,,21.0
2024-12-05,Twitter,post,Twitter update,@DomainDegen Nice .U! Didnâ€™t notice their availability until the email but snagged a fU of them myself,,12:00,1.864766964276851e+18,0.0,0.0,0.0,0.0,False,,10.0
2024-12-05,Twitter,post,Twitter update,@Cozydomainer @Dynadot @dottechdomains @dynatodd Brutal,,12:00,1.864694166997095e+18,5.0,2.0,0.0,0.0,False,,55.0
2024-12-05,Twitter,post,Twitter update,@NameBio Maybe just avoid Divorce and marriage and https://t.co/8MRIvCvVdc ğŸ˜,,12:00,1.8646820901194836e+18,7.0,2.0,0.0,0.0,False,,104.0
2024-12-03,Twitter,post,Twitter update,@JohanPoyhonen BOP.tea would be stronger tea https://t.co/aImAIOO394 https://t.co/C7039FxtXf,,12:00,1.8640989163936847e+18,8.0,1.0,1.0,0.0,False,,19.0
2024-12-03,Twitter,post,Twitter update,@zerozerocoins @BruceGrahamArt GM,,12:00,1.8639516026522708e+18,0.0,0.0,0.0,0.0,False,,72.0
2024-12-03,Twitter,post,Twitter update,@sandy_carter @unstoppableweb https://t.co/4jCWw2JYNd,,12:00,1.8639505550660529e+18,3.0,1.0,0.0,0.0,False,,35.0
2024-12-03,Twitter,post,Twitter update,GM GM to my fellow tea sipping domainers https://t.co/5cvb8Yo6CF,,12:00,1.863946378159993e+18,19.0,10.0,1.0,0.0,False,,282.0
2024-12-02,Twitter,post,Twitter update,@domainskaufhaus Welcome!,,12:00,1.863824347313624e+18,2.0,1.0,0.0,0.0,False,,11.0
2024-12-02,Twitter,post,Twitter update,Do yourself and your future grandkids a favor and invest in .XRP names while it's early! ğŸ‘‰Link: https://t.co/nEfIHKTfF6 Just over 17k domains registered so far #Alpha #XRP https://t.co/MlR4J6UJwY,,12:00,1.863812152278033e+18,28.0,7.0,1.0,0.0,False,,270.0
2024-12-02,Twitter,post,Twitter update,"@iandravid @Dynadot Oh wow! Definitely could, great call!",,12:00,1.863811871226135e+18,2.0,1.0,0.0,0.0,False,,16.0
2024-12-02,Twitter,post,Twitter update,Do yourself and your future grandkids a favor and invest in .XRP names while it's early! ğŸ‘‰Link: https://t.co/nEfIHKTfF6 Just over 17k domains registered so far https://t.co/5gjJpT8oDG,,12:00,1.8638115888236877e+18,4.0,1.0,0.0,0.0,False,,3.0
2024-12-01,Twitter,post,Twitter update,@enstroll Feeling good about it,,12:00,1.863225838583612e+18,4.0,1.0,1.0,0.0,False,,11.0
2024-12-01,Twitter,post,Twitter update,@MichaelCyger Smells good regardless!,,12:00,1.8632134172236516e+18,3.0,2.0,0.0,0.0,False,,72.0
2024-12-01,Twitter,post,Twitter update,@DomainDegen ğŸš€ğŸŒ•,,12:00,1.8631544035421883e+18,1.0,1.0,0.0,0.0,False,,11.0
2024-12-01,Twitter,post,Twitter update,"Time may tell when .moon names shall return to us domainers. Until then, let us be patient, enjoy our minted moons, and know that holding gets us to the moon. If I may, a poem: ğŸŒ™ 'The Moon's Promise' ğŸŒ• When Sister Moon (who guides us all) Behind earth's veil must journey https://t.co/QbW85vO6Ns",,12:00,1.8631457925145236e+18,38.0,12.0,0.0,0.0,False,,384.0
2024-11-30,Twitter,post,Twitter update,ğŸ‘¨ğŸ»â€ğŸš€ğŸŒ” MAN . MOON ğŸ‘¨ğŸ¾â€ğŸš€ğŸŒ” Accepting offers via DM for this premium LLL onchain domain while .moon awaits its return to @unstoppableweb marketplace #moon #domains #Web3Names #crypto https://t.co/SREbBYBViU,,12:00,1.863014248932127e+18,12.0,7.0,0.0,0.0,False,,416.0
2024-11-23,Twitter,post,Twitter update,ğŸ›¸ğŸŒ” PAD . MOON ğŸ›¸ğŸŒ” LISTED FOR SALE: $100K Perfect domain for launching web3 projects onchain. #launchpad #domains #Web3Names #crypto https://t.co/I03F9imLM0 https://t.co/PIvmI5z3S6,,12:00,1.8603273145230623e+18,11.0,5.0,2.0,0.0,False,,434.0
2024-11-22,Twitter,post,Twitter update,Recently listed premium . moon name https://t.co/2Uh8qMZmmU,,12:00,1.8600852116835205e+18,1.0,0.0,0.0,0.0,False,,59.0
2024-11-22,Twitter,post,Twitter update,ğŸš€ğŸŒ” LAUNCH . MOON ğŸš€ğŸŒ” LISTED FOR SALE: $100K #launch #domains #Web3Names #crypto https://t.co/2Uh8qMZmmU https://t.co/o72x9x3HBm,,12:00,1.8600836317856727e+18,16.0,5.0,0.0,0.0,False,,226.0
2024-11-22,Twitter,post,Twitter update,@jstenn13 Nice one,,12:00,1.85998907449036e+18,1.0,1.0,0.0,0.0,False,,57.0
2024-11-22,Twitter,post,Twitter update,ğŸª‚ drop . moon ğŸŒ• Listed for sale for just $5K! https://t.co/WWgdjFBqyx #web3 #airdrop #domainsforsale #unstoppablesnap https://t.co/Fgr00EQ9nm,,12:00,1.859986851677045e+18,3.0,1.0,0.0,0.0,False,,58.0
2024-11-21,Twitter,post,Twitter update,https://t.co/Ff6HTiKFmv Listed for sale: hodl.moon $250K or best offer @unstoppableweb #moon #cryptocurrency #domains https://t.co/uVtFh18Y5i,,12:00,1.8598435788912072e+18,6.0,3.0,0.0,0.0,False,,93.0
2024-11-16,Twitter,post,Twitter update,What do you think about the . cv TLD? Computer Vision? Cirriculum Vitae? Something else? Recently acquired a few on @Dynadot and curious about their potential... AutoGenerate /cv CoverLetter /cv Nightvision /cv Robot /cv #domains,,12:00,1.8580026934925235e+18,14.0,2.0,1.0,0.0,False,,163.0
2024-11-15,Twitter,post,Twitter update,@AlexVerdea What AI brokerage are you referring to,,12:00,1.857624136262234e+18,1.0,1.0,0.0,0.0,False,,71.0
2024-11-15,Twitter,post,Twitter update,Excited about this LLL . bet domain acquisition Pot . Bet https://t.co/az1fvjAtlO,,12:00,1.8575499617154417e+18,4.0,1.0,0.0,0.0,False,,99.0
2024-11-14,Twitter,post,Twitter update,@DCLjasonx https://t.co/WOOnDe1mPO ğŸ¤–ğŸ‘€,,12:00,1.8572504336699968e+18,12.0,4.0,1.0,0.0,False,,96.0
2024-11-13,Twitter,post,Twitter update,"@TonyDancaster Weâ€™ve listed https://t.co/4VV7upD9eb, https://t.co/smKgT1SpB0, and https://t.co/2BKWxiaM7r. https://t.co/tv2GKWFoTk",,12:00,1.856852569530012e+18,6.0,2.0,0.0,0.0,False,,74.0
2024-11-13,Twitter,post,Twitter update,SilverCoins.eth on sale for 1 ETH https://t.co/Fv4upV2RCr #ens #eth,,12:00,1.8568515775351813e+18,5.0,2.0,0.0,0.0,False,,87.0
2025-02-10,Twitter,post,Twitter update,"When knowledge work can be delegated to Agentic workers, life is better. https://t.co/cQNNi73mBq embodies this new mindset. Listing soon on Top Domain Club! #Domains #Agentic https://t.co/wOeCJmgOVD",,12:00,1.8889597096146824e+18,13.0,7.0,0.0,0.0,False,,104.0
2025-02-09,Twitter,post,Twitter update,Bargain! #Agent https://t.co/cbnVaAEkpU,,12:00,1.8885966572538104e+18,3.0,1.0,0.0,0.0,False,,52.0
2025-02-07,Twitter,post,Twitter update,ğŸš€ Attention Venture Capitalists &amp; Domain Investors! Are you looking to elevate your brand in the dynamic world of venture capital? Here's your golden opportunity: Introducing https://t.co/oZyZ1X2trL - A Premium Domain for Sale! Why https://t.co/oZyZ1X2trL? Brand Relevance: https://t.co/5IR75GR4DF,,12:00,1.8880738427505464e+18,1.0,0.0,0.0,0.0,False,,33.0
2025-02-07,Twitter,post,Twitter update,"ğŸš€ Attention Venture Capitalists &amp; Domain Investors! Are you looking to elevate your brand in the dynamic world of venture capital? Here's your golden opportunity: Introducing ""https://t.co/oZyZ1X2trL"" - A Premium Domain for Sale! ğŸ“·Why ""https://t.co/oZyZ1X2trL""? Brand https://t.co/igddfsSyr9",,12:00,1.8880733198508524e+18,2.0,0.0,0.0,0.0,False,,9.0
2025-02-07,Twitter,post,Twitter update,"ğŸš€ FOR SALE: Unlock the future with https://t.co/P598OZ485m! ğŸ”¥ A premium, ultra-catchy domain perfect for AI, tech, or bot-related ventures. ğŸŒ Don't miss out on this rare opportunity. DM for inquiries! #DomainForSale #PremiumDomain #AI #Tech #Bots #DubBot #Dub https://t.co/oF7rjC7P8F",,12:00,1.8878116383104248e+18,2.0,0.0,0.0,0.0,False,,86.0
2025-02-04,Twitter,post,Twitter update,@DomainDiscovere TD.c and O.ds,,12:00,1.8869259472341033e+18,2.0,2.0,0.0,0.0,False,,82.0
2025-01-31,Twitter,post,Twitter update,Do you have a .xrp name yet? If not what are you waiting for?,,12:00,1.8854709901820805e+18,0.0,0.0,0.0,0.0,False,,63.0
2025-01-28,Twitter,post,Twitter update,Premium dot com domain Agentic Job https://t.co/M2mBmJqg1q,,12:00,1.8844219440003236e+18,3.0,1.0,0.0,0.0,False,,82.0
2025-01-28,Twitter,post,Twitter update,@matthewegould brain.api mind.wave neuro.api https://t.co/3AkZKbYjty https://t.co/bVYwzLYryt https://t.co/G70IwmPgfq (thought bubble),,12:00,1.8844208801192678e+18,3.0,2.0,0.0,0.0,False,,48.0
2025-01-28,Twitter,post,Twitter update,Premium dot com domain Agentic Deal https://t.co/ZDqJXVdrO2,,12:00,1.8842465489783076e+18,6.0,3.0,0.0,0.0,False,,103.0
2025-01-27,Twitter,post,Twitter update,Premium dot com domain Agentic Code https://t.co/CDLVi1NFKj,,12:00,1.8840771979899292e+18,12.0,3.0,0.0,0.0,False,,196.0
2024-12-26,Twitter,post,Twitter update,"Up to more than 19,000 XRP names now! Better get yours while you still can! https://t.co/nEfIHKTNuE",,12:00,1.8724645853176264e+18,8.0,4.0,0.0,0.0,False,,84.0
2024-12-22,Twitter,post,Twitter update,@WorldEmojiBrand https://t.co/oZyZ1X2trL â€¢Retrieval-Augmented Generation (RAG) An AI framework that combines the capabilities of large language models (LLMs) with traditional information retrieval systems: â—¦RAG combines the generative power of LLMs with the precision of data search,,12:00,1.8708860383334277e+18,5.0,2.0,0.0,0.0,False,,110.0
2024-12-06,Twitter,post,Twitter update,https://t.co/Awjvvv1TXV,,12:00,1.8652349889728064e+18,7.0,4.0,0.0,0.0,False,,105.0
2024-12-05,Twitter,post,Twitter update,@ADHDForReal You should see my Spotify wrapped stats ğŸ˜¬,,12:00,1.8647681355445988e+18,0.0,0.0,0.0,0.0,False,,21.0
2024-12-05,Twitter,post,Twitter update,@DomainDegen Nice .U! Didnâ€™t notice their availability until the email but snagged a fU of them myself,,12:00,1.864766964276851e+18,0.0,0.0,0.0,0.0,False,,10.0
2024-12-05,Twitter,post,Twitter update,@Cozydomainer @Dynadot @dottechdomains @dynatodd Brutal,,12:00,1.8646941669970947e+18,5.0,2.0,0.0,0.0,False,,55.0
2024-12-05,Twitter,post,Twitter update,@NameBio Maybe just avoid Divorce and marriage and https://t.co/8MRIvCvVdc ğŸ˜,,12:00,1.8646820901194834e+18,7.0,2.0,0.0,0.0,False,,104.0
2024-12-03,Twitter,post,Twitter update,@JohanPoyhonen BOP.tea would be stronger tea https://t.co/aImAIOO394 https://t.co/C7039FxtXf,,12:00,1.8640989163936852e+18,8.0,1.0,1.0,0.0,False,,19.0
2024-12-03,Twitter,post,Twitter update,@zerozerocoins @BruceGrahamArt GM,,12:00,1.8639516026522708e+18,0.0,0.0,0.0,0.0,False,,72.0
2024-12-03,Twitter,post,Twitter update,@sandy_carter @unstoppableweb https://t.co/4jCWw2JYNd,,12:00,1.8639505550660526e+18,3.0,1.0,0.0,0.0,False,,35.0
2024-12-03,Twitter,post,Twitter update,GM GM to my fellow tea sipping domainers https://t.co/5cvb8Yo6CF,,12:00,1.863946378159993e+18,19.0,10.0,1.0,0.0,False,,282.0
2024-12-02,Twitter,post,Twitter update,@domainskaufhaus Welcome!,,12:00,1.8638243473136236e+18,2.0,1.0,0.0,0.0,False,,11.0
2024-12-02,Twitter,post,Twitter update,Do yourself and your future grandkids a favor and invest in .XRP names while it's early! ğŸ‘‰Link: https://t.co/nEfIHKTfF6 Just over 17k domains registered so far #Alpha #XRP https://t.co/MlR4J6UJwY,,12:00,1.8638121522780326e+18,28.0,7.0,1.0,0.0,False,,270.0
2024-12-02,Twitter,post,Twitter update,"@iandravid @Dynadot Oh wow! Definitely could, great call!",,12:00,1.863811871226135e+18,2.0,1.0,0.0,0.0,False,,16.0
2024-12-02,Twitter,post,Twitter update,Do yourself and your future grandkids a favor and invest in .XRP names while it's early! ğŸ‘‰Link: https://t.co/nEfIHKTfF6 Just over 17k domains registered so far https://t.co/5gjJpT8oDG,,12:00,1.8638115888236874e+18,4.0,1.0,0.0,0.0,False,,3.0
2024-12-01,Twitter,post,Twitter update,@enstroll Feeling good about it,,12:00,1.863225838583612e+18,4.0,1.0,1.0,0.0,False,,11.0
2024-12-01,Twitter,post,Twitter update,@MichaelCyger Smells good regardless!,,12:00,1.8632134172236513e+18,3.0,2.0,0.0,0.0,False,,72.0
2024-12-01,Twitter,post,Twitter update,@DomainDegen ğŸš€ğŸŒ•,,12:00,1.8631544035421883e+18,1.0,1.0,0.0,0.0,False,,11.0
2024-12-01,Twitter,post,Twitter update,"Time may tell when .moon names shall return to us domainers. Until then, let us be patient, enjoy our minted moons, and know that holding gets us to the moon. If I may, a poem: ğŸŒ™ 'The Moon's Promise' ğŸŒ• When Sister Moon (who guides us all) Behind earth's veil must journey https://t.co/QbW85vO6Ns",,12:00,1.8631457925145234e+18,38.0,12.0,0.0,0.0,False,,384.0
2024-11-30,Twitter,post,Twitter update,ğŸ‘¨ğŸ»â€ğŸš€ğŸŒ” MAN . MOON ğŸ‘¨ğŸ¾â€ğŸš€ğŸŒ” Accepting offers via DM for this premium LLL onchain domain while .moon awaits its return to @unstoppableweb marketplace #moon #domains #Web3Names #crypto https://t.co/SREbBYBViU,,12:00,1.863014248932127e+18,12.0,7.0,0.0,0.0,False,,416.0
2024-11-23,Twitter,post,Twitter update,ğŸ›¸ğŸŒ” PAD . MOON ğŸ›¸ğŸŒ” LISTED FOR SALE: $100K Perfect domain for launching web3 projects onchain. #launchpad #domains #Web3Names #crypto https://t.co/I03F9imLM0 https://t.co/PIvmI5z3S6,,12:00,1.8603273145230623e+18,11.0,5.0,2.0,0.0,False,,434.0
2024-11-22,Twitter,post,Twitter update,Recently listed premium . moon name https://t.co/2Uh8qMZmmU,,12:00,1.8600852116835205e+18,1.0,0.0,0.0,0.0,False,,59.0
2024-11-22,Twitter,post,Twitter update,ğŸš€ğŸŒ” LAUNCH . MOON ğŸš€ğŸŒ” LISTED FOR SALE: $100K #launch #domains #Web3Names #crypto https://t.co/2Uh8qMZmmU https://t.co/o72x9x3HBm,,12:00,1.8600836317856732e+18,16.0,5.0,0.0,0.0,False,,226.0
2024-11-22,Twitter,post,Twitter update,@jstenn13 Nice one,,12:00,1.85998907449036e+18,1.0,1.0,0.0,0.0,False,,57.0
2024-11-22,Twitter,post,Twitter update,ğŸª‚ drop . moon ğŸŒ• Listed for sale for just $5K! https://t.co/WWgdjFBqyx #web3 #airdrop #domainsforsale #unstoppablesnap https://t.co/Fgr00EQ9nm,,12:00,1.859986851677045e+18,3.0,1.0,0.0,0.0,False,,58.0
2024-11-21,Twitter,post,Twitter update,https://t.co/Ff6HTiKFmv Listed for sale: hodl.moon $250K or best offer @unstoppableweb #moon #cryptocurrency #domains https://t.co/uVtFh18Y5i,,12:00,1.8598435788912072e+18,6.0,3.0,0.0,0.0,False,,93.0
2024-11-16,Twitter,post,Twitter update,What do you think about the . cv TLD? Computer Vision? Cirriculum Vitae? Something else? Recently acquired a few on @Dynadot and curious about their potential... AutoGenerate /cv CoverLetter /cv Nightvision /cv Robot /cv #domains,,12:00,1.8580026934925233e+18,14.0,2.0,1.0,0.0,False,,163.0
2024-11-15,Twitter,post,Twitter update,@AlexVerdea What AI brokerage are you referring to,,12:00,1.857624136262234e+18,1.0,1.0,0.0,0.0,False,,71.0
2024-11-15,Twitter,post,Twitter update,Excited about this LLL . bet domain acquisition Pot . Bet https://t.co/az1fvjAtlO,,12:00,1.8575499617154417e+18,4.0,1.0,0.0,0.0,False,,99.0
2024-11-14,Twitter,post,Twitter update,@DCLjasonx https://t.co/WOOnDe1mPO ğŸ¤–ğŸ‘€,,12:00,1.8572504336699968e+18,12.0,4.0,1.0,0.0,False,,96.0
2024-11-13,Twitter,post,Twitter update,"@TonyDancaster Weâ€™ve listed https://t.co/4VV7upD9eb, https://t.co/smKgT1SpB0, and https://t.co/2BKWxiaM7r. https://t.co/tv2GKWFoTk",,12:00,1.856852569530012e+18,6.0,2.0,0.0,0.0,False,,74.0
2024-11-13,Twitter,post,Twitter update,SilverCoins.eth on sale for 1 ETH https://t.co/Fv4upV2RCr #ens #eth,,12:00,1.8568515775351813e+18,5.0,2.0,0.0,0.0,False,,87.0
